Age,Working Professional or Student,Dietary Habits,Degree,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Job/Study Satisfaction,Work/Academic Pressure,Depression
"[28.5, 39.0)",Working Professional,Moderate,MA,No,"[6.0, 9.0)",2,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,B.Com,Yes,"[0.0, 3.0)",4,3.0,4.0,No
"[39.0, 49.5)",Working Professional,Moderate,M.Com,No,"[0.0, 3.0)",2,3.0,2.0,No
"[39.0, 49.5)",Working Professional,Healthy,MD,Yes,"[0.0, 3.0)",2,5.0,3.0,No
"[39.0, 49.5)",Working Professional,Moderate,BE,Yes,"[6.0, 9.0)",5,3.0,4.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,MCA,Yes,"[9.0, 12.012)",3,4.0,1.0,No
"[28.5, 39.0)",Working Professional,Healthy,M.Com,No,"[3.0, 6.0)",1,2.0,4.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,BA,Yes,"[6.0, 9.0)",1,2.0,1.0,No
"[49.5, 60.042)",Working Professional,Moderate,LLM,Yes,"[9.0, 12.012)",5,2.0,1.0,No
"[28.5, 39.0)",Working Professional,Moderate,BCA,No,"[6.0, 9.0)",4,4.0,3.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,No,"[6.0, 9.0)",1,5.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",1,2.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,M.Tech,No,"[9.0, 12.012)",4,2.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,BA,No,"[6.0, 9.0)",5,3.0,2.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,Class 12,Yes,"[6.0, 9.0)",3,1.0,3.0,Yes
"[49.5, 60.042)",Working Professional,Unhealthy,LLB,No,"[9.0, 12.012)",1,3.0,3.0,No
"[28.5, 39.0)",Working Professional,Healthy,LLB,No,"[9.0, 12.012)",5,4.0,3.0,No
"[18.0, 28.5)",Student,Moderate,BA,Yes,"[9.0, 12.012)",2,4.0,2.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,B.Arch,No,"[9.0, 12.012)",5,1.0,4.0,No
"[18.0, 28.5)",Student,Healthy,MD,Yes,"[6.0, 9.0)",1,5.0,4.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,No,"[6.0, 9.0)",4,2.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,ME,No,"[9.0, 12.012)",2,5.0,5.0,No
"[39.0, 49.5)",Working Professional,Moderate,M.Tech,No,"[9.0, 12.012)",4,1.0,4.0,No
"[49.5, 60.042)",Working Professional,Moderate,B.Com,No,"[6.0, 9.0)",1,1.0,4.0,No
"[39.0, 49.5)",Working Professional,Healthy,MBA,No,"[3.0, 6.0)",5,3.0,2.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,M.Pharm,Yes,"[9.0, 12.012)",3,5.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,LLB,Yes,"[0.0, 3.0)",5,5.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,Class 12,Yes,"[6.0, 9.0)",5,5.0,5.0,No
"[18.0, 28.5)",Student,Unhealthy,MBBS,Yes,"[9.0, 12.012)",4,3.0,1.0,Yes
"[39.0, 49.5)",Working Professional,Moderate,B.Com,Yes,"[9.0, 12.012)",1,3.0,3.0,No
"[39.0, 49.5)",Working Professional,Moderate,BCA,No,"[6.0, 9.0)",4,1.0,4.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,PhD,No,"[6.0, 9.0)",1,5.0,3.0,No
"[39.0, 49.5)",Working Professional,Moderate,BSc,No,"[3.0, 6.0)",4,3.0,2.0,No
"[18.0, 28.5)",Student,Unhealthy,MSc,Yes,"[6.0, 9.0)",2,4.0,1.0,No
"[28.5, 39.0)",Working Professional,Moderate,BCA,No,"[0.0, 3.0)",5,4.0,5.0,No
"[28.5, 39.0)",Student,Healthy,LLM,Yes,"[3.0, 6.0)",2,5.0,1.0,No
"[28.5, 39.0)",Working Professional,Moderate,B.Com,No,"[9.0, 12.012)",2,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Unhealthy,MBBS,Yes,"[9.0, 12.012)",5,5.0,4.0,No
"[49.5, 60.042)",Working Professional,Healthy,BE,Yes,"[9.0, 12.012)",3,3.0,1.0,No
"[39.0, 49.5)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",5,1.0,5.0,No
"[18.0, 28.5)",Student,Unhealthy,Class 12,Yes,"[0.0, 3.0)",4,4.0,4.0,Yes
"[28.5, 39.0)",Student,Moderate,B.Com,Yes,"[6.0, 9.0)",2,2.0,4.0,Yes
"[39.0, 49.5)",Working Professional,Unhealthy,B.Arch,No,"[0.0, 3.0)",5,5.0,1.0,No
"[18.0, 28.5)",Student,Healthy,Class 12,Yes,"[3.0, 6.0)",4,1.0,4.0,Yes
"[49.5, 60.042)",Working Professional,Unhealthy,MHM,Yes,"[0.0, 3.0)",4,3.0,1.0,No
"[39.0, 49.5)",Working Professional,Moderate,B.Arch,No,"[0.0, 3.0)",5,2.0,1.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,BBA,Yes,"[9.0, 12.012)",3,5.0,4.0,Yes
"[49.5, 60.042)",Working Professional,Healthy,MCA,No,"[3.0, 6.0)",2,4.0,5.0,No
"[28.5, 39.0)",Working Professional,Moderate,Class 12,No,"[0.0, 3.0)",2,5.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",3,2.0,3.0,No
"[28.5, 39.0)",Student,Moderate,MBBS,No,"[9.0, 12.012)",3,4.0,1.0,No
"[39.0, 49.5)",Working Professional,Unhealthy,B.Com,No,"[0.0, 3.0)",5,5.0,5.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,BHM,Yes,"[6.0, 9.0)",1,3.0,2.0,No
"[49.5, 60.042)",Working Professional,Healthy,B.Ed,No,"[9.0, 12.012)",3,4.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,MBBS,Yes,"[9.0, 12.012)",3,3.0,5.0,No
"[28.5, 39.0)",Working Professional,Healthy,MBA,No,"[3.0, 6.0)",3,2.0,5.0,No
"[28.5, 39.0)",Working Professional,Healthy,MCA,No,"[6.0, 9.0)",5,4.0,5.0,No
"[39.0, 49.5)",Working Professional,Moderate,M.Tech,Yes,"[0.0, 3.0)",2,1.0,3.0,No
"[49.5, 60.042)",Working Professional,Moderate,MD,No,"[9.0, 12.012)",4,5.0,1.0,No
"[39.0, 49.5)",Working Professional,Moderate,MD,No,"[6.0, 9.0)",1,2.0,4.0,No
"[39.0, 49.5)",Working Professional,Moderate,BCA,Yes,"[3.0, 6.0)",3,2.0,4.0,No
"[28.5, 39.0)",Student,Unhealthy,MA,Yes,"[9.0, 12.012)",1,3.0,4.0,Yes
"[39.0, 49.5)",Working Professional,Moderate,PhD,Yes,"[0.0, 3.0)",1,1.0,5.0,No
"[49.5, 60.042)",Working Professional,Healthy,PhD,Yes,"[3.0, 6.0)",5,2.0,5.0,No
"[28.5, 39.0)",Student,Healthy,M.Pharm,Yes,"[6.0, 9.0)",4,4.0,5.0,Yes
"[28.5, 39.0)",Working Professional,Unhealthy,PhD,Yes,"[6.0, 9.0)",1,2.0,3.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,Yes,"[9.0, 12.012)",5,5.0,3.0,Yes
"[39.0, 49.5)",Working Professional,Moderate,B.Arch,No,"[9.0, 12.012)",2,1.0,1.0,No
"[18.0, 28.5)",Student,Unhealthy,B.Arch,Yes,"[9.0, 12.012)",5,1.0,2.0,Yes
"[18.0, 28.5)",Student,Unhealthy,BA,Yes,"[0.0, 3.0)",1,5.0,5.0,Yes
"[18.0, 28.5)",Student,Moderate,M.Pharm,Yes,"[9.0, 12.012)",3,1.0,1.0,Yes
"[18.0, 28.5)",Student,Unhealthy,M.Com,Yes,"[3.0, 6.0)",5,1.0,5.0,Yes
"[39.0, 49.5)",Working Professional,Healthy,MSc,Yes,"[9.0, 12.012)",3,3.0,1.0,No
"[18.0, 28.5)",Student,Healthy,MBA,Yes,"[6.0, 9.0)",3,3.0,5.0,Yes
"[39.0, 49.5)",Working Professional,Healthy,B.Arch,Yes,"[9.0, 12.012)",1,1.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,M.Tech,No,"[9.0, 12.012)",3,3.0,2.0,No
"[28.5, 39.0)",Working Professional,Moderate,B.Com,Yes,"[3.0, 6.0)",3,2.0,5.0,Yes
"[39.0, 49.5)",Working Professional,Unhealthy,B.Tech,No,"[6.0, 9.0)",2,2.0,2.0,No
"[39.0, 49.5)",Working Professional,Moderate,BCA,No,"[6.0, 9.0)",1,3.0,2.0,No
"[18.0, 28.5)",Working Professional,Moderate,Class 12,Yes,"[9.0, 12.012)",4,4.0,2.0,Yes
"[18.0, 28.5)",Student,Moderate,B.Ed,No,"[9.0, 12.012)",4,2.0,5.0,Yes
"[18.0, 28.5)",Student,Healthy,BBA,Yes,"[0.0, 3.0)",3,3.0,1.0,No
"[39.0, 49.5)",Working Professional,Moderate,MCA,Yes,"[9.0, 12.012)",2,5.0,4.0,No
"[28.5, 39.0)",Working Professional,Healthy,MHM,Yes,"[3.0, 6.0)",4,3.0,1.0,No
"[18.0, 28.5)",Student,Unhealthy,Class 12,Yes,"[0.0, 3.0)",5,5.0,5.0,Yes
"[49.5, 60.042)",Working Professional,Moderate,BCA,Yes,"[3.0, 6.0)",5,5.0,1.0,No
"[28.5, 39.0)",Working Professional,Moderate,BE,Yes,"[6.0, 9.0)",3,5.0,3.0,No
"[28.5, 39.0)",Working Professional,Unhealthy,Class 12,Yes,"[0.0, 3.0)",5,1.0,4.0,Yes
"[39.0, 49.5)",Working Professional,Healthy,MCA,No,"[6.0, 9.0)",5,3.0,4.0,No
"[28.5, 39.0)",Student,Unhealthy,BCA,Yes,"[0.0, 3.0)",3,3.0,4.0,Yes
"[49.5, 60.042)",Working Professional,Moderate,B.Arch,No,"[9.0, 12.012)",4,5.0,5.0,No
"[18.0, 28.5)",Working Professional,Healthy,MA,No,"[3.0, 6.0)",4,5.0,3.0,No
"[28.5, 39.0)",Student,Unhealthy,M.Tech,No,"[3.0, 6.0)",3,3.0,2.0,No
"[18.0, 28.5)",Working Professional,Unhealthy,Class 12,Yes,"[6.0, 9.0)",2,2.0,4.0,Yes
"[49.5, 60.042)",Working Professional,Moderate,MSc,Yes,"[6.0, 9.0)",3,3.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,BA,No,"[9.0, 12.012)",3,5.0,2.0,No
"[39.0, 49.5)",Working Professional,Healthy,MHM,No,"[9.0, 12.012)",3,4.0,1.0,No
"[18.0, 28.5)",Working Professional,Healthy,MBBS,No,"[3.0, 6.0)",5,1.0,2.0,No
"[18.0, 28.5)",Working Professional,Moderate,B.Ed,Yes,"[6.0, 9.0)",4,4.0,1.0,No
"[28.5, 39.0)",Working Professional,Moderate,M.Ed,No,"[6.0, 9.0)",1,4.0,3.0,No
"[49.5, 60.042)",Working Professional,Healthy,MA,Yes,"[6.0, 9.0)",2,4.0,1.0,No
"[49.5, 60.042)",Working Professional,Healthy,BA,No,"[6.0, 9.0)",3,2.0,3.0,No
"[39.0, 49.5)",Working Professional,Healthy,B.Com,No,"[9.0, 12.012)",4,4.0,1.0,No
"[49.5, 60.042)",Working Professional,Moderate,LLB,Yes,"[3.0, 6.0)",3,2.0,4.0,No
"[49.5, 60.042)",Working Professional,Healthy,M.Com,Yes,"[9.0, 12.012)",5,3.0,3.0,No
"[28.5, 39.0)",Working Professional,Healthy,LLB,Yes,"[6.0, 9.0)",3,3.0,5.0,Yes
"[28.5, 39.0)",Working Professional,Moderate,LLM,Yes,"[0.0, 3.0)",4,1.0,2.0,Yes
"[39.0, 49.5)",Working Professional,Unhealthy,M.Pharm,No,"[3.0, 6.0)",4,2.0,5.0,No
"[49.5, 60.042)",Working Professional,Moderate,M.Ed,No,"[9.0, 12.012)",1,4.0,2.0,No
