iter	Passed	Remaining
0	25	2494
1	47	2331
2	66	2152
3	87	2091
4	107	2035
5	128	2012
6	132	1759
7	151	1741
8	170	1720
9	189	1709
10	214	1733
11	232	1706
12	235	1576
13	252	1548
14	266	1511
15	284	1494
16	303	1482
17	321	1465
18	339	1447
19	357	1431
20	375	1410
21	395	1402
22	412	1381
23	428	1357
24	447	1342
25	469	1335
26	498	1346
27	521	1339
28	540	1322
29	565	1318
30	588	1309
31	617	1312
32	640	1301
33	662	1286
34	686	1274
35	709	1262
36	730	1243
37	751	1225
38	771	1207
39	796	1195
40	816	1175
41	839	1158
42	858	1138
43	876	1115
44	901	1102
45	924	1085
46	942	1063
47	961	1041
48	981	1022
49	1002	1002
50	1021	981
51	1039	959
52	1057	937
53	1076	917
54	1097	898
55	1116	877
56	1137	858
57	1156	837
58	1181	821
59	1206	804
60	1225	783
61	1244	762
62	1263	742
63	1287	724
64	1311	705
65	1330	685
66	1351	665
67	1372	645
68	1397	627
69	1414	606
70	1432	584
71	1451	564
72	1471	544
73	1488	523
74	1506	502
75	1526	481
76	1544	461
77	1565	441
78	1584	421
79	1603	400
80	1624	380
81	1642	360
82	1664	340
83	1686	321
84	1704	300
85	1724	280
86	1744	260
87	1766	240
88	1784	220
89	1803	200
90	1821	180
91	1839	159
92	1861	140
93	1878	119
94	1897	99
95	1915	79
96	1932	59
97	1954	39
98	1972	19
99	1989	0
